,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Total fertility rate,Infant mortality rate (per 1000 births),Life expectancy(males),Life expectancy (females)
1899,,1386 981,,,32.0,21.5,10.5,,153.8,,
1900,43 847,1470 000,916 000,554 000,31.7,20.4,12.6,,155.0,,
1901,44 359,1557 000,931 000,626 000,33.1,20.4,14.1,,149.9,,
1902,44 964,1570 000,965 000,605 000,32.9,20.9,13.5,,154.0,,
1903,45 546,1552 000,936 000,616 000,32.0,20.0,13.5,,152.4,,
1904,46 135,1500 000,1005 000,495 000,30.6,21.2,10.7,,151.9,,
1905,46 620,1517 000,1047 000,470 000,30.6,21.9,10.1,,151.7,,
1906,47 038,1461 000,962 000,499 000,29.0,20.0,10.6,,153.6,,
1907,47 416,1685 000,1025 000,660 000,33.2,21.0,13.9,,151.3,,
1908,47 965,1734 000,1037 000,697 000,33.7,20.9,14.5,,158.0,,
1909,48 554,1766 000,1098 000,668 000,33.9,21.9,13.8,,167.3,,
1910,49 184,1782 000,1071 000,711 000,33.9,21.1,14.5,,161.2,,
1911,49 852,1821 000,1050 000,771 000,34.1,20.4,15.5,,158.4,,
1912,50 577,1817 000,1044 000,773 000,33.4,20.0,15.3,,154.2,,
1913,51 305,1835 000,1035 000,800 000,33.3,19.5,15.6,,152.1,,
1914,52 039,1883 000,1109 000,774 000,33.8,20.6,14.9,,158.5,,
1915,52 752,1872 000,1110 000,762 000,33.2,20.2,14.4,,160.4,,
1916,53 496,1873 000,1196 000,677 000,32.9,21.6,12.7,,170.3,,
1917,54 134,1883 000,1208 000,675 000,32.7,21.6,12.5,,173.2,,
1918,54 739,1856 000,1503 000,353 000,32.2,26.7,6.4,,188.6,,
1919,55 033,1850 000,1290 000,560 000,31.6,22.8,10.2,,170.5,,
1920,55 963,2105 000,1431 000,674 000,36.2,25.4,12.0,,165.7,,
1921,56 666,1991 000,1289 000,702 000,35.1,22.7,12.4,,168.3,,
1922,57 390,1969 000,1287 000,682 000,34.3,22.4,11.9,,166.4,,
1923,58 119,2043 000,1332 000,711 000,35.2,22.9,12.2,,163.4,,
1924,58 876,1999 000,1255 000,744 000,33.9,21.3,12.6,,156.2,,
1925,59 737,2080 000,1211 000,869 000,34.9,20.3,14.5,5.10,142.4,,
1926,60 741,2104 000,1161 000,943 000,34.6,19.1,15.5,,137.5,,
1927,61 659,2061 000,1214 000,847 000,33.4,19.7,13.7,,141.6,,
1928,62 595,2136 000,1237 000,899 000,34.1,19.8,14.4,,136.7,,
1929,63 461,2077 000,1261 000,816 000,32.7,19.9,12.9,,142.1,,
1930,64 450,2085 000,1171 000,914 000,32.4,18.2,14.2,4.70,124.1,,
1931,65 457,2103 000,1241 000,862 000,32.1,19.0,13.2,,131.5,,
1932,65 800,2165 000,1165 000,1000 000,32.9,17.7,15.2,,117.5,,
1933,66 790,2104 000,1182 000,922 000,31.5,17.7,13.8,,121.3,,
1934,67 680,2028 289,1225 402,802 887,29.9,18.1,11.9,,124.8,,
1935,68 662,2174 291,1152 371,1021 920,31.6,16.8,14.9,,106.7,,
1936,69 590,2086 355,1220 023,866 332,30.0,17.5,12.4,,116.7,46.92,49.63
1937,70 360,2164 949,1198 400,966 549,30.9,17.1,13.7,,105.8,,
1938,70 590,1911 966,1250 093,661 873,27.2,17.7,9.4,,114.4,,
1939,70 930,1885 957,1258 514,627 443,26.6,17.8,8.8,,106.2,,
1940,71 540,2100 164,1176 517,923 647,29.4,16.4,12.9,4.11,90.0,,
1941,72 750,2260 270,1140 428,1119 842,31.1,15.7,15.4,,84.1,,
1942,73 450,2216 271,1157 845,1058 426,30.3,15.8,14.4,,85.5,,
1943,73 980,2235 431,1204 802,1030 629,30.3,16.3,13.9,,86.6,,
1944,73 865,2149 843,1279 639,870 204,29.2,17.4,11.8,,,,
1945,72 410,1685 583,2113 798,-428 215,23.2,29.2,-5.9,,,,
1946,75 300,1905 809,1326 592,579 217,25.3,17.6,7.7,,,,
1947,78 025,2678 792,1138 238,1540 554,34.3,14.6,19.7,4.54,76.7,50.06,53.96
1948,79 500,2681 624,950 610,1731 014,33.7,12.0,21.8,4.40,61.7,55.6,59.4
1949,81 300,2696 638,945 444,1751 194,33.2,11.6,21.5,4.32,62.5,56.2,59.8
1950,82 900,2337 507,904 876,1432 631,28.2,10.9,17.3,3.65,60.1,58.0,61.5
1951,84 235,2137 689,838 998,1298 691,25.4,10.0,15.4,3.26,57.5,59.57,62.97
1952,85 503,2005 162,765 068,1240 094,23.5,8.9,14.5,2.98,49.4,61.9,65.5
1953,86 695,1868 040,772 547,1095 493,21.5,8.9,12.6,2.69,48.9,61.9,65.7
1954,87 976,1769 580,721 491,1048 089,20.1,8.2,11.9,2.48,44.6,63.41,67.69
1955,89 020,1730 692,693 523,1037 169,19.4,7.8,11.7,2.37,39.8,63.60,67.75
1956,89 953,1665 278,724 460,940 818,18.5,8.1,10.5,2.22,40.6,63.59,67.54
1957,90 734,1566 713,752 445,814 268,17.3,8.3,9.0,2.04,40.0,63.24,67.60
1958,91 546,1653 469,684 189,969 280,18.1,7.5,10.6,2.11,34.5,64.98,69.61
1959,92 434,1626 088,689 959,936 129,17.6,7.5,10.1,2.04,33.7,65.21,69.88
1960,94 094,1627 939,711 230,916 709,17.3,7.6,9.7,2.00,30.7,65.32,70.19
1961,94 943,1611 772,700 459,911 313,17.0,7.4,9.6,1.96,28.6,66.03,70.79
1962,95 832,1639 631,715 163,924 468,17.1,7.5,9.6,1.98,26.4,66.23,71.16
1963,96 812,1681 242,675 721,1005 521,17.4,7.0,10.4,2.00,23.2,67.21,72.34
1964,97 826,1737 277,678 104,1059 173,17.8,6.9,10.8,2.05,20.4,67.67,72.87
1965,98 883,1844 452,705 363,1139 089,18.7,7.1,11.5,2.14,18.5,67.74,72.92
1966,99 790,1378 968,675 351,703 617,13.8,6.8,7.1,1.58,19.3,68.35,73.61
1967,100 725,1956 725,679 797,1276 928,19.4,6.7,12.7,2.23,14.9,68.91,74.15
1968,102 061,1893 219,691 647,1201 572,18.5,6.8,11.8,2.13,15.3,69.05,74.30
1969,103 172,1910 927,698 669,1212 258,18.5,6.8,11.7,2.13,14.2,69.18,74.67
1970,104 345,1955 277,718 135,1237 142,18.7,6.9,11.9,2.13,13.1,69.31,74.66
1971,105 697,2022 204,689 542,1332 662,19.1,6.5,12.6,2.16,12.4,70.17,75.58
1972,107 188,2059 533,688 788,1370 745,19.2,6.4,12.8,2.14,11.7,70.50,75.94
1973,108 709,2091 983,709 416,1382 567,19.2,6.5,12.7,2.14,11.3,70.70,76.02
1974,110 162,2029 989,710 510,1319 479,18.4,6.4,12.0,2.05,10.8,71.16,76.31
1975,111 573,1901 440,702 275,1199 165,17.0,6.3,10.7,1.91,10.0,71.73,76.89
1976,112 775,1832 617,703 270,1129 347,16.3,6.2,10.0,1.85,9.3,72.15,77.35
1977,113 872,1755 100,690 074,1065 026,15.4,6.1,9.4,1.80,8.9,72.69,77.95
1978,114 913,1708 643,695 821,1012 822,14.9,6.1,8.8,1.79,8.4,72.97,78.33
1979,115 890,1642 580,689 664,952 916,14.2,6.0,8.2,1.77,7.9,73.46,78.89
1980,116 807,1576 889,722 801,854 088,13.5,6.2,7.3,1.75,7.5,73.35,78.76
1981,117 661,1529 455,720 262,809 193,13.0,6.1,6.9,1.74,7.1,73.79,79.13
1982,118 480,1515 392,711 883,803 509,12.8,6.0,6.8,1.77,6.6,74.22,79.66
1983,119 307,1508 687,740 038,768 649,12.6,6.2,6.4,1.80,6.2,74.20,79.78
1984,120 083,1489 786,740 247,749 539,12.4,6.2,6.2,1.81,6.0,74.54,80.18
1985,120 837,1431 577,752 283,679 294,11.8,6.2,5.6,1.76,5.5,74.78,80.48
1986,121 482,1382 976,750 620,632 356,11.4,6.2,5.2,1.72,5.2,75.23,80.93
1987,122 069,1346 658,751 172,595 486,11.0,6.2,4.9,1.69,5.0,75.61,81.39
1988,122 578,1314 006,793 014,520 992,10.7,6.5,4.3,1.66,4.8,75.54,81.30
1989,123 069,1246 802,788 594,458 208,10.1,6.4,3.7,1.57,4.6,75.91,81.77
1990,123 478,1221 585,820 305,401 280,9.9,6.6,3.2,1.54,4.6,75.92,81.90
1991,123 964,1223 245,829 797,393 448,9.9,6.7,3.2,1.53,4.4,76.11,82.11
1992,124 425,1208 989,856 643,352 346,9.7,6.9,2.8,1.50,4.5,76.09,82.22
1993,124 829,1188 282,878 532,309 750,9.5,7.0,2.5,1.46,4.3,76.25,82.51
1994,125 178,1238 328,875 933,362 395,9.9,7.0,2.9,1.50,4.2,76.57,82.98
1995,125 472,1187 064,922 139,264 925,9.5,7.3,2.1,1.42,4.3,76.38,82.85
1996,125 757,1206 555,896 211,310 344,9.6,7.1,2.4,1.43,3.8,77.01,83.59
1997,126 057,1209 000,921 000,288 000,9.6,7.3,2.3,1.39,3.7,77.19,83.82
1998,126 400,1215 000,933 000,282 000,9.6,7.4,2.2,1.38,3.6,77.16,84.01
1999,126 631,1197 000,985 000,212 000,9.5,7.8,1.7,1.34,3.4,77.10,83.99
2000,126 843,1194 000,968 000,226 000,9.4,7.6,1.8,1.36,3.2,77.72,84.60
2001,127 130,1185 000,966 000,219 000,9.3,7.6,1.7,1.33,3.1,78.07,84.93
2002,127 386,1176 000,980 000,196 000,9.2,7.7,1.5,1.32,3.0,78.32,85.23
2003,127 670,1139 000,1023 000,116 000,8.9,8.0,0.9,1.29,3.0,78.36,85.33
2004,127 680,1126 000,1024 000,102 000,8.8,8.0,0.8,1.29,2.8,78.64,85.59
2005,127 760,1087 000,1078 000,9 000,8.5,8.4,0.1,1.26,2.8,78.56,85.52
2006,127 710,1092 674,1084 450,8 224,8.6,8.5,0.1,1.32,2.6,79.00,85.81
2007,127 750,1101 000,1103 000,-2 000,8.6,8.6,-0.0,1.34,2.6,79.19,85.99
2008,127 680,1108 000,1142 000,-34 000,8.7,8.9,-0.3,1.37,2.6,79.29,86.05
2009,127 550,1087 000,1146 000,-59 000,8.5,9.0,-0.5,1.37,2.4,79.59,86.44
2010,127 430,1083 000,1189 000,-105 000,8.5,9.3,-0.8,1.39,2.3,79.64,86.39
2011,127 770,1050 806,1253 066,-202 260,8.3,9.9,-1.6,1.39,2.3,79.44,85.90
2012,127 400,1037 101,1256 254,-219 153,8.2,9.9,-1.7,1.41,2.3,79.94,86.41
2013,127 150,1031 000,1275 000,-244 000,8.1,10.0,-1.9,1.42(e),,,
