Rank,State,"Population as of
1990 Census","Population as of
2000 Census",Change,"Percent
change"
1,California,"29,760,021","33,871,648","4,111,627",13.8%
2,Texas,"16,986,510","20,851,820","3,865,510",22.8%
3,New York,"17,990,455","18,976,457","986,002",5.5%
4,Florida,"12,937,926","15,982,378","3,044,452",23.5%
5,Illinois,"11,430,602","12,419,293","988,691",8.6%
6,Pennsylvania,"11,881,643","12,281,054","399,411",3.4%
7,Ohio,"10,847,115","11,353,140","506,025",4.7%
8,Michigan,"9,295,297","9,938,444","643,147",6.9%
9,New Jersey,"7,730,188","8,414,350","684,162",8.9%
10,Georgia,"6,478,216","8,186,453","1,708,237",26.4%
11,North Carolina,"6,628,637","8,049,313","1,420,676",21.4%
12,Virginia,"6,187,358","7,078,515","891,157",14.4%
13,Massachusetts,"6,016,425","6,349,097","332,672",5.5%
14,Indiana,"5,544,159","6,080,485","536,326",9.7%
15,Washington,"4,866,692","5,894,121","1,027,429",21.1%
16,Tennessee,"4,877,185","5,689,283","812,098",16.7%
17,Missouri,"5,117,073","5,595,211","478,138",9.3%
18,Wisconsin,"4,891,769","5,363,675","471,906",9.6%
19,Maryland,"4,781,468","5,296,486","515,018",10.8%
20,Arizona,"3,665,228","5,130,632","1,465,404",40.0%
21,Minnesota,"4,375,099","4,919,479","544,380",12.4%
22,Louisiana,"4,219,973","4,468,976","249,003",5.9%
23,Alabama,"4,040,587","4,447,100","406,513",10.1%
24,Colorado,"3,294,394","4,301,261","1,006,867",30.6%
25,Kentucky,"3,685,296","4,041,769","356,473",9.7%
26,South Carolina,"3,486,703","4,012,012","525,309",15.1%
27,Oklahoma,"3,145,585","3,450,654","305,069",9.7%
28,Oregon,"2,842,321","3,421,399","579,078",20.4%
29,Connecticut,"3,287,116","3,405,565","118,449",3.6%
30,Iowa,"2,776,755","2,926,324","149,569",5.4%
31,Mississippi,"2,573,216","2,844,658","271,442",10.5%
32,Kansas,"2,477,574","2,688,418","210,844",8.5%
33,Arkansas,"2,350,725","2,673,400","322,675",13.7%
34,Utah,"1,722,850","2,233,169","510,319",29.6%
35,Nevada,"1,201,833","1,998,257","796,424",66.3%
36,New Mexico,"1,515,069","1,819,046","303,977",20.1%
37,West Virginia,"1,793,477","1,808,344","14,867",0.8%
38,Nebraska,"1,578,385","1,711,263","132,878",8.4%
39,Idaho,"1,006,749","1,293,953","287,204",28.5%
40,Maine,"1,227,928","1,274,923","46,995",3.8%
41,New Hampshire,"1,109,252","1,235,786","126,534",11.4%
42,Hawaii,"1,108,229","1,211,537","103,308",9.3%
43,Rhode Island,"1,003,464","1,048,319","44,855",4.5%
44,Montana,"799,065","902,195","103,130",12.9%
45,Delaware,"666,168","783,600","117,432",17.6%
46,South Dakota,"696,004","754,844","58,840",8.5%
47,North Dakota,"638,800","642,200","3,400",0.5%
48,Alaska,"550,043","626,932","76,889",14.0%
49,Vermont,"562,758","608,827","46,069",8.2%
â€”,District of Columbia,"606,900","572,059","-34,841",-5.7%
50,Wyoming,"453,588","493,782","40,194",8.9%
,United States,"248,709,873","281,421,906","32,712,033",13.2%
